Code_INEGI,Municipality,Area_ID,Area,Students
12035,Iguala de la Independencia,4,Business Administration,1971
12035,Iguala de la Independencia,6,Technology of the information and communication,927
12035,Iguala de la Independencia,7,"Engineering, manufacturing and construction",1143
12035,Iguala de la Independencia,8,Agriculture and Veterinary,603
12035,Iguala de la Independencia,9,Health Sciences,607
12035,Iguala de la Independencia,10,Services,141
12038,Zihuatanejo de Azueta,1,Education,85
12038,Zihuatanejo de Azueta,2,Arts and Humanities,5
12038,Zihuatanejo de Azueta,3,social sciences and law,261
12038,Zihuatanejo de Azueta,4,Business Administration,1076
12038,Zihuatanejo de Azueta,6,Technology of the information and communication,174
12038,Zihuatanejo de Azueta,7,"Engineering, manufacturing and construction",374
12038,Zihuatanejo de Azueta,9,Health Sciences,735
12038,Zihuatanejo de Azueta,10,Services,51
12039,Juan R. Escudero,4,Business Administration,44
12039,Juan R. Escudero,6,Technology of the information and communication,24
12041,Malinaltepec,2,Arts and Humanities,71
12041,Malinaltepec,4,Business Administration,55
12041,Malinaltepec,5,"natural sciences, mathematics and statistics",135
12041,Malinaltepec,8,Agriculture and Veterinary,111
12041,Malinaltepec,10,Services,25
12045,Olinalá,3,social sciences and law,10
12045,Olinalá,4,Business Administration,4
12045,Olinalá,6,Technology of the information and communication,10
12046,Ometepec,1,Education,66
12046,Ometepec,3,social sciences and law,305
12046,Ometepec,4,Business Administration,865
12046,Ometepec,6,Technology of the information and communication,218
12046,Ometepec,7,"Engineering, manufacturing and construction",832
12046,Ometepec,9,Health Sciences,889
12048,Petatlán,4,Business Administration,1169
12048,Petatlán,6,Technology of the information and communication,259
12048,Petatlán,7,"Engineering, manufacturing and construction",916
12048,Petatlán,10,Services,676
12050,Pungarabato,1,Education,205
12050,Pungarabato,2,Arts and Humanities,114
12050,Pungarabato,3,social sciences and law,250
12050,Pungarabato,4,Business Administration,787
12050,Pungarabato,5,"natural sciences, mathematics and statistics",236
12050,Pungarabato,6,Technology of the information and communication,312
12050,Pungarabato,7,"Engineering, manufacturing and construction",112
12050,Pungarabato,8,Agriculture and Veterinary,507
12050,Pungarabato,9,Health Sciences,664
12050,Pungarabato,10,Services,75
12055,Taxco de Alarcón,2,Arts and Humanities,96
12055,Taxco de Alarcón,3,social sciences and law,197
12055,Taxco de Alarcón,4,Business Administration,933
12055,Taxco de Alarcón,5,"natural sciences, mathematics and statistics",245
12055,Taxco de Alarcón,6,Technology of the information and communication,159
12055,Taxco de Alarcón,7,"Engineering, manufacturing and construction",595
12055,Taxco de Alarcón,9,Health Sciences,1700
12056,Tecoanapa,3,social sciences and law,76
12057,Técpan de Galeana,1,Education,30
12057,Técpan de Galeana,3,social sciences and law,47
12057,Técpan de Galeana,4,Business Administration,62
12057,Técpan de Galeana,5,"natural sciences, mathematics and statistics",170
12057,Técpan de Galeana,6,Technology of the information and communication,6
12057,Técpan de Galeana,7,"Engineering, manufacturing and construction",140
12057,Técpan de Galeana,8,Agriculture and Veterinary,384
12058,Teloloapan,1,Education,288
12058,Teloloapan,2,Arts and Humanities,24
12058,Teloloapan,4,Business Administration,41
12061,Tixtla de Guerrero,1,Education,766
12061,Tixtla de Guerrero,2,Arts and Humanities,27
12061,Tixtla de Guerrero,3,social sciences and law,63
12061,Tixtla de Guerrero,6,Technology of the information and communication,10
12066,Tlapa de Comonfort,1,Education,514
12066,Tlapa de Comonfort,3,social sciences and law,281
12066,Tlapa de Comonfort,4,Business Administration,802
12066,Tlapa de Comonfort,6,Technology of the information and communication,386
12066,Tlapa de Comonfort,7,"Engineering, manufacturing and construction",619
12075,Eduardo Neri,2,Arts and Humanities,184
12075,Eduardo Neri,3,social sciences and law,7
12075,Eduardo Neri,4,Business Administration,314
12075,Eduardo Neri,6,Technology of the information and communication,7
12075,Eduardo Neri,7,"Engineering, manufacturing and construction",182
12075,Eduardo Neri,10,Services,163
12077,Marquelia,4,Business Administration,41
12077,Marquelia,6,Technology of the information and communication,66
12077,Marquelia,7,"Engineering, manufacturing and construction",102
12077,Marquelia,8,Agriculture and Veterinary,72
12077,Marquelia,9,Health Sciences,201
12077,Marquelia,10,Services,69
13008,Apan,3,social sciences and law,153
13008,Apan,4,Business Administration,1198
13008,Apan,5,"natural sciences, mathematics and statistics",226
13008,Apan,6,Technology of the information and communication,253
13008,Apan,7,"Engineering, manufacturing and construction",1407
13008,Apan,10,Services,142
13010,Atitalaquia,6,Technology of the information and communication,51
13010,Atitalaquia,7,"Engineering, manufacturing and construction",695
13012,Atotonilco el Grande,3,social sciences and law,59
13012,Atotonilco el Grande,4,Business Administration,31
13012,Atotonilco el Grande,6,Technology of the information and communication,2
13013,Atotonilco de Tula,3,social sciences and law,311
13013,Atotonilco de Tula,4,Business Administration,57
13016,Cuautepec de Hinojosa,2,Arts and Humanities,26
13016,Cuautepec de Hinojosa,3,social sciences and law,51
13018,Chapulhuacán,4,Business Administration,145
13018,Chapulhuacán,6,Technology of the information and communication,54
13018,Chapulhuacán,8,Agriculture and Veterinary,23
13023,Francisco I. Madero,4,Business Administration,360
13023,Francisco I. Madero,6,Technology of the information and communication,277
13023,Francisco I. Madero,7,"Engineering, manufacturing and construction",1083
13023,Francisco I. Madero,8,Agriculture and Veterinary,749
13028,Huejutla de Reyes,1,Education,839
13028,Huejutla de Reyes,3,social sciences and law,584
13028,Huejutla de Reyes,4,Business Administration,2172
13028,Huejutla de Reyes,5,"natural sciences, mathematics and statistics",170
13028,Huejutla de Reyes,6,Technology of the information and communication,594
13028,Huejutla de Reyes,7,"Engineering, manufacturing and construction",1833
13028,Huejutla de Reyes,8,Agriculture and Veterinary,886
13028,Huejutla de Reyes,9,Health Sciences,755
13028,Huejutla de Reyes,10,Services,626
13029,Huichapan,1,Education,52
13029,Huichapan,2,Arts and Humanities,16
13029,Huichapan,3,social sciences and law,78
13029,Huichapan,4,Business Administration,554
13029,Huichapan,6,Technology of the information and communication,191
13029,Huichapan,7,"Engineering, manufacturing and construction",1141
13029,Huichapan,8,Agriculture and Veterinary,148
13029,Huichapan,10,Services,141
13030,Ixmiquilpan,1,Education,367
13030,Ixmiquilpan,3,social sciences and law,148
13030,Ixmiquilpan,4,Business Administration,616
13030,Ixmiquilpan,6,Technology of the information and communication,289
13030,Ixmiquilpan,7,"Engineering, manufacturing and construction",1052
13030,Ixmiquilpan,10,Services,536
13031,Jacala de Ledezma,1,Education,63
13037,Metztitlán,4,Business Administration,54
13037,Metztitlán,6,Technology of the information and communication,6
13037,Metztitlán,7,"Engineering, manufacturing and construction",80
13037,Metztitlán,8,Agriculture and Veterinary,110
13039,Mineral del Monte,2,Arts and Humanities,828
13041,Mixquiahuala de Juárez,4,Business Administration,567
13041,Mixquiahuala de Juárez,6,Technology of the information and communication,466
13041,Mixquiahuala de Juárez,7,"Engineering, manufacturing and construction",1638
13048,Pachuca de Soto,1,Education,4995
13048,Pachuca de Soto,2,Arts and Humanities,547
13048,Pachuca de Soto,3,social sciences and law,7764
13048,Pachuca de Soto,4,Business Administration,4257
13048,Pachuca de Soto,6,Technology of the information and communication,1237
13048,Pachuca de Soto,7,"Engineering, manufacturing and construction",4459
13048,Pachuca de Soto,9,Health Sciences,2008
13048,Pachuca de Soto,10,Services,466
13050,Progreso de Obregón,1,Education,1089
13050,Progreso de Obregón,3,social sciences and law,191
13050,Progreso de Obregón,4,Business Administration,105
13051,Mineral de la Reforma,1,Education,216
13051,Mineral de la Reforma,2,Arts and Humanities,172
13051,Mineral de la Reforma,3,social sciences and law,1057
13051,Mineral de la Reforma,4,Business Administration,1253
13051,Mineral de la Reforma,5,"natural sciences, mathematics and statistics",1871
13051,Mineral de la Reforma,6,Technology of the information and communication,1305
13051,Mineral de la Reforma,7,"Engineering, manufacturing and construction",4420
13051,Mineral de la Reforma,8,Agriculture and Veterinary,52
13051,Mineral de la Reforma,9,Health Sciences,523
13051,Mineral de la Reforma,10,Services,400
13052,San Agustín Tlaxiaca,1,Education,283
13052,San Agustín Tlaxiaca,2,Arts and Humanities,87
13052,San Agustín Tlaxiaca,3,social sciences and law,2203
13052,San Agustín Tlaxiaca,4,Business Administration,3994
13052,San Agustín Tlaxiaca,6,Technology of the information and communication,11
13052,San Agustín Tlaxiaca,7,"Engineering, manufacturing and construction",965
13052,San Agustín Tlaxiaca,9,Health Sciences,5837
13052,San Agustín Tlaxiaca,10,Services,1891
13053,San Bartolo Tutotepec,3,social sciences and law,19
13053,San Bartolo Tutotepec,4,Business Administration,2
13056,Santiago Tulantepec de Lugo Guerrero,2,Arts and Humanities,79
13056,Santiago Tulantepec de Lugo Guerrero,3,social sciences and law,451
13056,Santiago Tulantepec de Lugo Guerrero,4,Business Administration,597
13056,Santiago Tulantepec de Lugo Guerrero,5,"natural sciences, mathematics and statistics",99
13056,Santiago Tulantepec de Lugo Guerrero,6,Technology of the information and communication,151
13056,Santiago Tulantepec de Lugo Guerrero,7,"Engineering, manufacturing and construction",516
13056,Santiago Tulantepec de Lugo Guerrero,9,Health Sciences,1020
13060,Tenango de Doria,1,Education,131
13060,Tenango de Doria,2,Arts and Humanities,79
13060,Tenango de Doria,3,social sciences and law,28
13060,Tenango de Doria,4,Business Administration,9
13060,Tenango de Doria,5,"natural sciences, mathematics and statistics",53
13060,Tenango de Doria,8,Agriculture and Veterinary,69
13060,Tenango de Doria,10,Services,15
13061,Tepeapulco,4,Business Administration,232
13061,Tepeapulco,7,"Engineering, manufacturing and construction",525
13063,Tepeji del Río de Ocampo,4,Business Administration,163
13063,Tepeji del Río de Ocampo,7,"Engineering, manufacturing and construction",212
13064,Tepetitlán,4,Business Administration,39
13064,Tepetitlán,8,Agriculture and Veterinary,14
13067,Tezontepec de Aldama,4,Business Administration,20
13067,Tezontepec de Aldama,6,Technology of the information and communication,28
13067,Tezontepec de Aldama,10,Services,135
13068,Tianguistengo,1,Education,453
13069,Tizayuca,1,Education,116
13069,Tizayuca,2,Arts and Humanities,105
13069,Tizayuca,3,social sciences and law,200
13069,Tizayuca,4,Business Administration,459
13069,Tizayuca,6,Technology of the information and communication,311
13069,Tizayuca,7,"Engineering, manufacturing and construction",516
13069,Tizayuca,10,Services,364
13070,Tlahuelilpan,4,Business Administration,345
13070,Tlahuelilpan,6,Technology of the information and communication,141
13070,Tlahuelilpan,9,Health Sciences,652
13072,Tlanalapa,3,social sciences and law,220
13072,Tlanalapa,4,Business Administration,10
13072,Tlanalapa,10,Services,56
13074,Tlaxcoapan,1,Education,83
13074,Tlaxcoapan,3,social sciences and law,52
13074,Tlaxcoapan,4,Business Administration,22
13075,Tolcayuca,2,Arts and Humanities,547
13075,Tolcayuca,4,Business Administration,988
13075,Tolcayuca,6,Technology of the information and communication,209
13075,Tolcayuca,7,"Engineering, manufacturing and construction",869
13075,Tolcayuca,10,Services,358
13076,Tula de Allende,1,Education,436
13076,Tula de Allende,2,Arts and Humanities,183
13076,Tula de Allende,3,social sciences and law,673
13076,Tula de Allende,4,Business Administration,1815
13076,Tula de Allende,5,"natural sciences, mathematics and statistics",45
13076,Tula de Allende,6,Technology of the information and communication,488
13076,Tula de Allende,7,"Engineering, manufacturing and construction",2703
13076,Tula de Allende,9,Health Sciences,82
13076,Tula de Allende,10,Services,456
13077,Tulancingo de Bravo,1,Education,1094
13077,Tulancingo de Bravo,2,Arts and Humanities,51
13077,Tulancingo de Bravo,3,social sciences and law,992
13077,Tulancingo de Bravo,4,Business Administration,1845
13077,Tulancingo de Bravo,6,Technology of the information and communication,509
13077,Tulancingo de Bravo,7,"Engineering, manufacturing and construction",1751
13077,Tulancingo de Bravo,8,Agriculture and Veterinary,1313
13077,Tulancingo de Bravo,9,Health Sciences,288
13077,Tulancingo de Bravo,10,Services,113
13081,Zacualtipán de Ángeles,1,Education,189
13081,Zacualtipán de Ángeles,2,Arts and Humanities,50
13081,Zacualtipán de Ángeles,3,social sciences and law,65
13081,Zacualtipán de Ángeles,4,Business Administration,838
13081,Zacualtipán de Ángeles,5,"natural sciences, mathematics and statistics",156
13081,Zacualtipán de Ángeles,6,Technology of the information and communication,227
13081,Zacualtipán de Ángeles,7,"Engineering, manufacturing and construction",715
13081,Zacualtipán de Ángeles,8,Agriculture and Veterinary,54
13081,Zacualtipán de Ángeles,9,Health Sciences,391
13083,Zempoala,1,Education,6
13083,Zempoala,4,Business Administration,588
13083,Zempoala,5,"natural sciences, mathematics and statistics",558
13083,Zempoala,6,Technology of the information and communication,572
13083,Zempoala,7,"Engineering, manufacturing and construction",1812
13083,Zempoala,9,Health Sciences,1442
13084,Zimapán,3,social sciences and law,148
13084,Zimapán,4,Business Administration,268
13084,Zimapán,6,Technology of the information and communication,37
13084,Zimapán,7,"Engineering, manufacturing and construction",561
14006,Ameca,1,Education,528
14006,Ameca,3,social sciences and law,1425
14006,Ameca,4,Business Administration,993
14006,Ameca,5,"natural sciences, mathematics and statistics",214
14006,Ameca,6,Technology of the information and communication,347
14006,Ameca,7,"Engineering, manufacturing and construction",493
14006,Ameca,9,Health Sciences,206
14006,Ameca,10,Services,224
14008,Arandas,1,Education,488
14008,Arandas,2,Arts and Humanities,32
14008,Arandas,3,social sciences and law,247
14008,Arandas,4,Business Administration,717
14008,Arandas,6,Technology of the information and communication,108
14008,Arandas,7,"Engineering, manufacturing and construction",798
14008,Arandas,8,Agriculture and Veterinary,330
14008,Arandas,9,Health Sciences,175
14013,Atotonilco el Alto,1,Education,204
14013,Atotonilco el Alto,3,social sciences and law,432
14013,Atotonilco el Alto,4,Business Administration,480
14013,Atotonilco el Alto,9,Health Sciences,83
14015,Autlán de Navarro,1,Education,563
14015,Autlán de Navarro,2,Arts and Humanities,30
14015,Autlán de Navarro,3,social sciences and law,585
14015,Autlán de Navarro,4,Business Administration,1173
14015,Autlán de Navarro,5,"natural sciences, mathematics and statistics",250
14015,Autlán de Navarro,6,Technology of the information and communication,146
14015,Autlán de Navarro,7,"Engineering, manufacturing and construction",730
14015,Autlán de Navarro,8,Agriculture and Veterinary,385
14015,Autlán de Navarro,9,Health Sciences,605
14015,Autlán de Navarro,10,Services,190
14018,La Barca,3,social sciences and law,152
14018,La Barca,4,Business Administration,323
14018,La Barca,8,Agriculture and Veterinary,219
14021,Casimiro Castillo,1,Education,20
14022,Cihuatlán,5,"natural sciences, mathematics and statistics",254
14023,Zapotlán el Grande,1,Education,994
14023,Zapotlán el Grande,2,Arts and Humanities,142
14023,Zapotlán el Grande,3,social sciences and law,1686
14023,Zapotlán el Grande,4,Business Administration,2204
14023,Zapotlán el Grande,5,"natural sciences, mathematics and statistics",132
14023,Zapotlán el Grande,6,Technology of the information and communication,746
14023,Zapotlán el Grande,7,"Engineering, manufacturing and construction",2293
14023,Zapotlán el Grande,8,Agriculture and Veterinary,842
14023,Zapotlán el Grande,9,Health Sciences,2552
14023,Zapotlán el Grande,10,Services,250
14024,Cocula,1,Education,18
14024,Cocula,4,Business Administration,378
14024,Cocula,6,Technology of the information and communication,36
14024,Cocula,7,"Engineering, manufacturing and construction",189
14024,Cocula,8,Agriculture and Veterinary,392
14025,Colotlán,1,Education,272
14025,Colotlán,3,social sciences and law,1314
14025,Colotlán,4,Business Administration,885
14025,Colotlán,6,Technology of the information and communication,333
14025,Colotlán,7,"Engineering, manufacturing and construction",349
14025,Colotlán,9,Health Sciences,1750
14025,Colotlán,10,Services,77
14030,Chapala,2,Arts and Humanities,107
14030,Chapala,4,Business Administration,195
14030,Chapala,6,Technology of the information and communication,151
14030,Chapala,7,"Engineering, manufacturing and construction",534
14030,Chapala,10,Services,112
14035,Encarnación de Díaz,3,social sciences and law,13
14035,Encarnación de Díaz,9,Health Sciences,41
14036,Etzatlán,1,Education,162
14037,El Grullo,4,Business Administration,141
14037,El Grullo,6,Technology of the information and communication,78
14037,El Grullo,7,"Engineering, manufacturing and construction",301
14039,Guadalajara,1,Education,6888
14039,Guadalajara,2,Arts and Humanities,9207
14039,Guadalajara,3,social sciences and law,22625
14039,Guadalajara,4,Business Administration,12736
14039,Guadalajara,5,"natural sciences, mathematics and statistics",2295
14039,Guadalajara,6,Technology of the information and communication,7275
14039,Guadalajara,7,"Engineering, manufacturing and construction",17884
14039,Guadalajara,8,Agriculture and Veterinary,2
14039,Guadalajara,9,Health Sciences,24816
14039,Guadalajara,10,Services,4848
14043,La Huerta,4,Business Administration,346
14043,La Huerta,6,Technology of the information and communication,62
14043,La Huerta,7,"Engineering, manufacturing and construction",86
14044,Ixtlahuacán de los Membrillos,1,Education,507
14048,Jesús María,1,Education,1282
14048,Jesús María,2,Arts and Humanities,53
14048,Jesús María,3,social sciences and law,583
14048,Jesús María,4,Business Administration,455
14048,Jesús María,6,Technology of the information and communication,56
14048,Jesús María,7,"Engineering, manufacturing and construction",485
14048,Jesús María,8,Agriculture and Veterinary,764
14048,Jesús María,9,Health Sciences,1266
14050,Jocotepec,10,Services,24
14053,Lagos de Moreno,1,Education,365
14053,Lagos de Moreno,2,Arts and Humanities,154
14053,Lagos de Moreno,3,social sciences and law,768
14053,Lagos de Moreno,4,Business Administration,1347
14053,Lagos de Moreno,6,Technology of the information and communication,324
14053,Lagos de Moreno,7,"Engineering, manufacturing and construction",2234
14053,Lagos de Moreno,9,Health Sciences,25
14058,Mascota,4,Business Administration,222
14058,Mascota,6,Technology of the information and communication,43
14058,Mascota,7,"Engineering, manufacturing and construction",82
14058,Mascota,8,Agriculture and Veterinary,105
14063,Ocotlán,1,Education,262
14063,Ocotlán,2,Arts and Humanities,31
14063,Ocotlán,3,social sciences and law,1090
14063,Ocotlán,4,Business Administration,2091
14063,Ocotlán,5,"natural sciences, mathematics and statistics",3
14063,Ocotlán,6,Technology of the information and communication,574
14063,Ocotlán,7,"Engineering, manufacturing and construction",1209
14063,Ocotlán,8,Agriculture and Veterinary,5
14063,Ocotlán,9,Health Sciences,487
14066,Poncitlán,1,Education,160
14066,Poncitlán,4,Business Administration,73
14067,Puerto Vallarta,1,Education,397
14067,Puerto Vallarta,2,Arts and Humanities,753
14067,Puerto Vallarta,3,social sciences and law,2021
14067,Puerto Vallarta,4,Business Administration,4356
14067,Puerto Vallarta,5,"natural sciences, mathematics and statistics",244
14067,Puerto Vallarta,6,Technology of the information and communication,653
14067,Puerto Vallarta,7,"Engineering, manufacturing and construction",1695
14067,Puerto Vallarta,9,Health Sciences,1598
14067,Puerto Vallarta,10,Services,1314
14073,San Juan de los Lagos,2,Arts and Humanities,74
14073,San Juan de los Lagos,3,social sciences and law,362
14073,San Juan de los Lagos,4,Business Administration,115
14073,San Juan de los Lagos,6,Technology of the information and communication,71
14073,San Juan de los Lagos,7,"Engineering, manufacturing and construction",100
14075,San Marcos,4,Business Administration,95
14075,San Marcos,6,Technology of the information and communication,103
14075,San Marcos,10,Services,97
14083,Tala,3,social sciences and law,6
14083,Tala,4,Business Administration,307
14083,Tala,6,Technology of the information and communication,61
14083,Tala,7,"Engineering, manufacturing and construction",275
14083,Tala,8,Agriculture and Veterinary,245
14085,Tamazula de Gordiano,4,Business Administration,373
14085,Tamazula de Gordiano,7,"Engineering, manufacturing and construction",323
14085,Tamazula de Gordiano,8,Agriculture and Veterinary,636
14091,Teocaltiche,1,Education,230
14091,Teocaltiche,3,social sciences and law,35
14091,Teocaltiche,4,Business Administration,65
14093,Tepatitlán de Morelos,1,Education,39
14093,Tepatitlán de Morelos,2,Arts and Humanities,77
14093,Tepatitlán de Morelos,3,social sciences and law,935
14093,Tepatitlán de Morelos,4,Business Administration,1441
14093,Tepatitlán de Morelos,6,Technology of the information and communication,147
14093,Tepatitlán de Morelos,7,"Engineering, manufacturing and construction",248
14093,Tepatitlán de Morelos,8,Agriculture and Veterinary,393
14093,Tepatitlán de Morelos,9,Health Sciences,1645
14097,Tlajomulco de Zúñiga,3,social sciences and law,317
14097,Tlajomulco de Zúñiga,4,Business Administration,804
14097,Tlajomulco de Zúñiga,5,"natural sciences, mathematics and statistics",145
14097,Tlajomulco de Zúñiga,6,Technology of the information and communication,132
14097,Tlajomulco de Zúñiga,7,"Engineering, manufacturing and construction",1262
14097,Tlajomulco de Zúñiga,8,Agriculture and Veterinary,1170
14097,Tlajomulco de Zúñiga,9,Health Sciences,1627
14097,Tlajomulco de Zúñiga,10,Services,207
14098,San Pedro Tlaquepaque,1,Education,993
14098,San Pedro Tlaquepaque,2,Arts and Humanities,1706
14098,San Pedro Tlaquepaque,3,social sciences and law,2654
14098,San Pedro Tlaquepaque,4,Business Administration,5708
14098,San Pedro Tlaquepaque,5,"natural sciences, mathematics and statistics",481
14098,San Pedro Tlaquepaque,6,Technology of the information and communication,602
14098,San Pedro Tlaquepaque,7,"Engineering, manufacturing and construction",4364
14098,San Pedro Tlaquepaque,9,Health Sciences,1407
14098,San Pedro Tlaquepaque,10,Services,412
14101,Tonalá,1,Education,565
14101,Tonalá,2,Arts and Humanities,519
14101,Tonalá,3,social sciences and law,2697
14101,Tonalá,4,Business Administration,2506
14101,Tonalá,5,"natural sciences, mathematics and statistics",625
14101,Tonalá,6,Technology of the information and communication,459
14101,Tonalá,7,"Engineering, manufacturing and construction",1368
14101,Tonalá,9,Health Sciences,1852
14101,Tonalá,10,Services,277
14110,Unión de Tula,1,Education,208
14114,Villa Corona,1,Education,199
14120,Zapopan,1,Education,3683
14120,Zapopan,2,Arts and Humanities,2041
14120,Zapopan,3,social sciences and law,11524
14120,Zapopan,4,Business Administration,28904
14120,Zapopan,5,"natural sciences, mathematics and statistics",2799
14120,Zapopan,6,Technology of the information and communication,2468
14120,Zapopan,7,"Engineering, manufacturing and construction",7980
14120,Zapopan,8,Agriculture and Veterinary,4780
14120,Zapopan,9,Health Sciences,9111
14120,Zapopan,10,Services,3006
14124,Zapotlanejo,4,Business Administration,283
14124,Zapotlanejo,6,Technology of the information and communication,91
14124,Zapotlanejo,7,"Engineering, manufacturing and construction",335
14124,Zapotlanejo,8,Agriculture and Veterinary,132
15001,Acambay de Ruíz Castañeda,1,Education,1037
15001,Acambay de Ruíz Castañeda,3,social sciences and law,742
15001,Acambay de Ruíz Castañeda,4,Business Administration,17
15001,Acambay de Ruíz Castañeda,6,Technology of the information and communication,16
15001,Acambay de Ruíz Castañeda,7,"Engineering, manufacturing and construction",76
15001,Acambay de Ruíz Castañeda,9,Health Sciences,141
15002,Acolman,1,Education,1550
15002,Acolman,3,social sciences and law,94
15002,Acolman,4,Business Administration,207
15002,Acolman,6,Technology of the information and communication,68
15002,Acolman,7,"Engineering, manufacturing and construction",376
15002,Acolman,9,Health Sciences,289
15003,Aculco,1,Education,75
15003,Aculco,3,social sciences and law,75
15003,Aculco,4,Business Administration,58
15003,Aculco,6,Technology of the information and communication,48
15004,Almoloya de Alquisiras,4,Business Administration,114
15004,Almoloya de Alquisiras,6,Technology of the information and communication,61
15005,Almoloya de Juárez,4,Business Administration,635
15005,Almoloya de Juárez,5,"natural sciences, mathematics and statistics",465
15005,Almoloya de Juárez,6,Technology of the information and communication,413
15005,Almoloya de Juárez,7,"Engineering, manufacturing and construction",2338
15005,Almoloya de Juárez,10,Services,302
15007,Amanalco,3,social sciences and law,44
15007,Amanalco,9,Health Sciences,181
15008,Amatepec,8,Agriculture and Veterinary,18
15009,Amecameca,1,Education,328
15009,Amecameca,2,Arts and Humanities,241
15009,Amecameca,3,social sciences and law,661
15009,Amecameca,4,Business Administration,355
15009,Amecameca,7,"Engineering, manufacturing and construction",15
15009,Amecameca,8,Agriculture and Veterinary,397
15009,Amecameca,9,Health Sciences,333
15011,Atenco,3,social sciences and law,329
15011,Atenco,6,Technology of the information and communication,119
15011,Atenco,7,"Engineering, manufacturing and construction",109
15012,Atizapán,1,Education,16
15012,Atizapán,3,social sciences and law,28
15012,Atizapán,4,Business Administration,4
15013,Atizapán de Zaragoza,1,Education,1138
15013,Atizapán de Zaragoza,2,Arts and Humanities,1018
15013,Atizapán de Zaragoza,3,social sciences and law,4458
15013,Atizapán de Zaragoza,4,Business Administration,5404
15013,Atizapán de Zaragoza,5,"natural sciences, mathematics and statistics",567
15013,Atizapán de Zaragoza,6,Technology of the information and communication,1757
15013,Atizapán de Zaragoza,7,"Engineering, manufacturing and construction",4620
15013,Atizapán de Zaragoza,9,Health Sciences,2148
15013,Atizapán de Zaragoza,10,Services,464
15014,Atlacomulco,1,Education,633
15014,Atlacomulco,2,Arts and Humanities,20
15014,Atlacomulco,3,social sciences and law,1096
15014,Atlacomulco,4,Business Administration,1206
15014,Atlacomulco,6,Technology of the information and communication,446
15014,Atlacomulco,7,"Engineering, manufacturing and construction",395
15014,Atlacomulco,9,Health Sciences,267
15015,Atlautla,4,Business Administration,306
15015,Atlautla,6,Technology of the information and communication,214
15015,Atlautla,7,"Engineering, manufacturing and construction",248
15015,Atlautla,10,Services,66
15016,Axapusco,3,social sciences and law,717
15016,Axapusco,4,Business Administration,181
15016,Axapusco,6,Technology of the information and communication,212
15016,Axapusco,10,Services,211
15018,Calimaya,1,Education,26
15018,Calimaya,3,social sciences and law,259
15018,Calimaya,4,Business Administration,232
15018,Calimaya,7,"Engineering, manufacturing and construction",274
15019,Capulhuac,1,Education,216
15019,Capulhuac,2,Arts and Humanities,64
15019,Capulhuac,3,social sciences and law,16
15019,Capulhuac,4,Business Administration,20
15019,Capulhuac,5,"natural sciences, mathematics and statistics",165
15019,Capulhuac,7,"Engineering, manufacturing and construction",71
15020,Coacalco de Berriozábal,1,Education,3793
15020,Coacalco de Berriozábal,2,Arts and Humanities,875
15020,Coacalco de Berriozábal,3,social sciences and law,4302
15020,Coacalco de Berriozábal,4,Business Administration,7497
15020,Coacalco de Berriozábal,6,Technology of the information and communication,1776
15020,Coacalco de Berriozábal,7,"Engineering, manufacturing and construction",4414
15020,Coacalco de Berriozábal,8,Agriculture and Veterinary,106
15020,Coacalco de Berriozábal,9,Health Sciences,817
15020,Coacalco de Berriozábal,10,Services,904
15021,Coatepec Harinas,1,Education,254
15021,Coatepec Harinas,4,Business Administration,58
15021,Coatepec Harinas,6,Technology of the information and communication,17
15021,Coatepec Harinas,9,Health Sciences,208
15024,Cuautitlán,1,Education,245
15024,Cuautitlán,3,social sciences and law,921
15024,Cuautitlán,4,Business Administration,642
15024,Cuautitlán,6,Technology of the information and communication,60
15024,Cuautitlán,7,"Engineering, manufacturing and construction",47
15024,Cuautitlán,8,Agriculture and Veterinary,84
15024,Cuautitlán,10,Services,51
15025,Chalco,1,Education,1068
15025,Chalco,3,social sciences and law,2314
15025,Chalco,4,Business Administration,1483
15025,Chalco,6,Technology of the information and communication,1009
15025,Chalco,7,"Engineering, manufacturing and construction",1372
15025,Chalco,10,Services,33
15029,Chicoloapan,1,Education,110
15029,Chicoloapan,3,social sciences and law,178
15029,Chicoloapan,7,"Engineering, manufacturing and construction",184
15031,Chimalhuacán,1,Education,1355
15031,Chimalhuacán,2,Arts and Humanities,757
15031,Chimalhuacán,3,social sciences and law,1159
15031,Chimalhuacán,4,Business Administration,1166
15031,Chimalhuacán,6,Technology of the information and communication,692
15031,Chimalhuacán,7,"Engineering, manufacturing and construction",1697
15031,Chimalhuacán,9,Health Sciences,1359
15031,Chimalhuacán,10,Services,1584
15033,Ecatepec de Morelos,1,Education,3843
15033,Ecatepec de Morelos,2,Arts and Humanities,2732
15033,Ecatepec de Morelos,3,social sciences and law,11663
15033,Ecatepec de Morelos,4,Business Administration,9776
15033,Ecatepec de Morelos,5,"natural sciences, mathematics and statistics",9
15033,Ecatepec de Morelos,6,Technology of the information and communication,3721
15033,Ecatepec de Morelos,7,"Engineering, manufacturing and construction",6529
15033,Ecatepec de Morelos,9,Health Sciences,5136
15033,Ecatepec de Morelos,10,Services,2056
15035,Huehuetoca,1,Education,255
15035,Huehuetoca,2,Arts and Humanities,193
15035,Huehuetoca,3,social sciences and law,546
15035,Huehuetoca,4,Business Administration,276
15035,Huehuetoca,5,"natural sciences, mathematics and statistics",134
